"[-0.9999999763651025, -0.9999999901993297, -1.0001146165630546, -1.0009033531149836]","[-0.9999999901993297, -0.9999999911330283, -0.999996795110151, -0.9990878962309625]","[-1.0001146165630546, -0.999996795110151, 1.1878347222359396, 16.95936586863144]","[-1.0009033531149836, -0.9990878962309625, 16.95936586863144, 2880.1848864252024]"
"[-0.9999998230823608, -1.000000000995637, -1.0002492552681914, -1.0037300160558549]","[-1.000000000995637, -0.9999999994000497, -0.9999897905494576, -1.000013534497517]","[-1.0002492552681914, -0.9999897905494576, 0.8983547825041964, 2.526353276856048]","[-1.0037300160558549, -1.000013534497517, 2.526353276856048, 149.71336256148354]"
"[-0.9999997025347178, -1.0000000001575409, -1.0002053235163104, -1.002930533004812]","[-1.0000000001575409, -0.9999999995994591, -0.999999295375611, -1.000001448002177]","[-1.0002053235163104, -0.999999295375611, 0.19107789198941472, 0.2352073108591617]","[-1.002930533004812, -1.000001448002177, 0.2352073108591617, 74.78513317053464]"
"[-0.9999996184368174, -1.0000000005685745, -1.000219761655241, -1.0016140982549175]","[-1.0000000005685745, -0.9999999995080958, -0.9999986562123423, -0.999998402608878]","[-1.000219761655241, -0.9999986562123423, 0.09741990379931176, -0.9142126932219096]","[-1.0016140982549175, -0.999998402608878, -0.9142126932219096, 47.602065489033464]"
"[-0.999999584592491, -1.0000000008738459, -1.0002225504452105, -1.0002571889560634]","[-1.0000000008738459, -0.9999999996136677, -0.9999989684903591, -0.9999924369753359]","[-1.0002225504452105, -0.9999989684903591, 0.05804301410817114, -1.95333854055113]","[-1.0002571889560634, -0.9999924369753359, -1.95333854055113, 40.044710121353816]"
"[-0.9999996043503205, -1.0000000008468988, -1.000195208854216, -0.9983955168240851]","[-1.0000000008468988, -0.9999999995014212, -0.9999986147877125, -1.0000011007955045]","[-1.000195208854216, -0.9999986147877125, 0.014916756845609669, -2.7076997335846587]","[-0.9983955168240851, -1.0000011007955045, -2.7076997335846587, 42.47111346802173]"
"[-0.9999996822363765, -0.9999999993751654, -1.0001370315827134, -0.9970261594080632]","[-0.9999999993751654, -0.9999999995607628, -1.0000003337510832, -0.9999989980198556]","[-1.0001370315827134, -1.0000003337510832, 0.08968817347310831, -3.138196390916462]","[-0.9970261594080632, -0.9999989980198556, -3.138196390916462, 61.6572166061979]"
"[-0.9999997830981082, -0.9999999997315837, -0.999981386480131, -0.9968564328057633]","[-0.9999999997315837, -0.9999999991277005, -1.0000131775044427, -1.0000033416739411]","[-0.999981386480131, -1.0000131775044427, 0.7467326105751821, -0.8088113992771504]","[-0.9968564328057633, -1.0000033416739411, -0.8088113992771504, 75.72556100095981]"
"[-0.9999998833012929, -1.0000000009525793, -0.9998075157154591, -0.997842026711279]","[-1.0000000009525793, -0.9999999990871747, -1.0000170695004311, -1.000022750256569]","[-0.9998075157154591, -1.0000170695004311, 3.4089464708947315, 3.923585649090197]","[-0.997842026711279, -1.000022750256569, 3.923585649090197, 69.13956485829851]"
"[-0.9999999425576854, -1.0000000000342952, -0.9998401205968354, -0.9989983468834246]","[-1.0000000000342952, -0.9999999995714512, -1.0000115849389062, -0.9999955690369843]","[-0.9998401205968354, -1.0000115849389062, 5.591387345446208, 3.057568480420965]","[-0.9989983468834246, -0.9999955690369843, 3.057568480420965, 44.64877961456479]"
"[-0.999999966383555, -1.0000000002267648, -0.9998580501031107, -0.9995985749626477]","[-1.0000000002267648, -0.9999999983695287, -1.0000214586844076, -0.9999917616926041]","[-0.9998580501031107, -1.0000214586844076, 7.750539452816858, 1.2453746952474982]","[-0.9995985749626477, -0.9999917616926041, 1.2453746952474982, 24.92972658991213]"
"[-0.9999999759823929, -1.000000001932713, -0.9998256070222684, -0.9998408114676384]","[-1.000000001932713, -0.9999999954543956, -1.0000329359334528, -1.0000027529666435]","[-0.9998256070222684, -1.0000329359334528, 8.024536100183468, 0.053304335186851404]","[-0.9998408114676384, -1.0000027529666435, 0.053304335186851404, 14.484430041159078]"
"[-0.999999983547085, -1.0000000001547948, -0.9999198052549747, -0.9998537727070923]","[-1.0000000001547948, -0.9999999956560344, -0.9999703641759354, -0.9999665332074607]","[-0.9999198052549747, -0.9999703641759354, 3.5340776079065446, 0.02084452528617997]","[-0.9998537727070923, -0.9999665332074607, 0.02084452528617997, 10.377394842700394]"
"[-0.9999999916288239, -0.9999999999068655, -1.0000048885428265, -0.9997774507897417]","[-0.9999999999068655, -0.9999999977440154, -0.999991567395828, -0.9999988248553217]","[-1.0000048885428265, -0.999991567395828, -0.21048765475502607, -1.5100033054147741]","[-0.9997774507897417, -0.9999988248553217, -1.5100033054147741, 12.02464939388835]"
"[-0.999999996822717, -1.000000000245609, -0.9999957314217137, -0.9999424099376623]","[-1.000000000245609, -0.9999999995541933, -0.9999997713002036, -1.0000131252481652]","[-0.9999957314217137, -0.9999997713002036, -0.45036313673137895, -1.384055261387039]","[-0.9999424099376623, -1.0000131252481652, -1.384055261387039, 5.780123345032946]"
"[-0.999999997990795, -1.0000000000923734, -0.999995620072676, -0.9999772544535063]","[-1.0000000000923734, -0.9999999996053041, -0.99999968700407, -1.000000653260397]","[-0.999995620072676, -0.99999968700407, -0.49916608546359964, -0.8590294081847712]","[-0.9999772544535063, -1.000000653260397, -0.8590294081847712, 1.7795526815672122]"
"[-0.9999999982615102, -1.0000000002019076, -1.0000008211211406, -1.0000112165705655]","[-1.0000000002019076, -0.9999999989138115, -1.0000022421870653, -0.9999991193482655]","[-1.0000008211211406, -1.0000022421870653, -0.572400483459661, -0.5762030383656384]","[-1.0000112165705655, -0.9999991193482655, -0.5762030383656384, 3.2162373622761145]"
"[-0.9999999976837765, -1.0000000004755567, -1.000005712532539, -1.000008281119058]","[-1.0000000004755567, -0.9999999972218728, -0.9999991840797292, -0.9999974892674318]","[-1.000005712532539, -0.9999991840797292, -0.5810661761235002, -1.0250531484911845]","[-1.000008281119058, -0.9999974892674318, -1.0250531484911845, 2.075774541463955]"
"[-0.9999999982208234, -1.0000000000619642, -1.0000015128111104, -0.9999738986302636]","[-1.0000000000619642, -0.99999999915363, -1.0000011936758024, -1.0000021843577598]","[-1.0000015128111104, -1.0000011936758024, -0.5612061248768071, -1.2973123297504223]","[-0.9999738986302636, -1.0000021843577598, -1.2973123297504223, 2.0895162958499878]"
"[-0.9999999992346653, -1.000000001283473, -0.9999919852274608, -0.9996573825024686]","[-1.000000001283473, -0.9999999888011152, -1.0000703770151398, -1.0006713435354833]","[-0.9999919852274608, -1.0000703770151398, 0.0409064699817725, 11.075154867051733]","[-0.9996573825024686, -1.0006713435354833, 11.075154867051733, 760.1892346911999]"
